name,street,cityzip,phone,city,zip
The Epilepsy Institute dba Epilepsy Foundation of Metropolitan New York,65 Broadway,"New York, NY, 10006",(212) 677-8550,New York,10006
"The Mental Health Association of New York City, Inc dba Vibrant Emotional H",50 Broadway,"New York, NY, 10004",(212) 254-0333,New York,10004
Community Access Inc - Bronx Shelter,2 Washington St,"New York, NY, 10004",(212) 780-1400,New York,10004
"Hamilton Madison House, Inc.",253 South St,"New York, NY, 10002",(212) 720-4570,New York,10002
Gouverneur Diagnostic and Treatment Center,227 Madison St,"New York, NY, 10002",(212) 238-7897,New York,10002
University Settlement Society Of New York,184 Eldridge St,"New York, NY, 10002",(212) 453-4522,New York,10002
"Greenwich House, Inc",190 Mercer St,"New York, NY, 10012",(212) 677-3400,New York,10012
Betances Health Center,40 Montgomery St,"New York, NY, 10002",(212) 233-5032,New York,10002
"Community Assistance Resources and Extended Services, Inc",465 Grand St,"New York, NY, 10002",(212) 420-1970,New York,10002
"Community Assistance Resources and Extended Services, Inc.",465 Grand St,"New York, NY, 10002",(212) 420-1970,New York,10002
Project Renewal Inc,8 E 3rd St,"New York, NY, 10003",(212) 533-8400,New York,10003
Community Access Inc - East Village Access PROS,242 E 2nd St,"New York, NY, 10009",(212) 780-9008,New York,10009
Graham Windham,One Pierrepont Plaza,"Brooklyn, NY, 11201",(212) 529-6445,Brooklyn,11201
The Institute for Family Health,300 Cadman Plaza W,"Brooklyn, NY, 11201",(718) 822-1818,Brooklyn,11201
"St. Mark's Place Institute for Mental Health, Inc.",57 St Marks Pl,"New York, NY, 10003",(212) 982-3470,New York,10003
"Institute for Community Living, Inc",25 Chapel St,"Brooklyn, NY, 11201",(888) 425-0501,Brooklyn,11201
Jewish Board of Family and Children's Services- Bronx REAL Counseling Cente,195 Montague St,"Brooklyn, NY, 11201",(844) 663-2255,Brooklyn,11201
"Jewish Board of Family & Children's Services, Inc",333 E 4th St,"New York, NY, 10009",(844) 663-2255,New York,10009
Safe Horizon Inc.,50 Court St,"Brooklyn, NY, 11201",(347) 328-8110,Brooklyn,11201
Housing Works Inc,57 Willoughby St,"Brooklyn, NY, 11201",(347) 473-7400,Brooklyn,11201
Housing Works Services Inc,743-749 E 9th St,"New York, NY, 10009",(718) 277-0386,New York,10009
St Vincent Services Dba Heart Share St Vincents,66 Boerum Pl,"Brooklyn, NY, 11201",(718) 522-5307,Brooklyn,11201
St Vincent Services Inc,66 Boerum Pl,"Brooklyn, NY, 11201",(718) 522-6011,Brooklyn,11201
"Center for Alternative Sentencing and Employment Services, Inc",151 Lawrence St,"Brooklyn, NY, 11201",(718) 408-6505,Brooklyn,11201
Rising Ground Inc,151 Lawrence St,"Brooklyn, NY, 11201",(914) 375-8769,Brooklyn,11201
