name,field,phone,address,zip,city
ALLIANCE FOR POSITIVE CHG,Mental Health Services,212-645-0871,"MIDTOWN CENTRAL 64 W 35TH ST, NEW YORK, NY, 10001",10001,NEW YORK
BLANTON PEALE INSTITUTE,Mental Health Services,212-725-7850,"7 W 30TH ST FL 9, NEW YORK, NY, 10001",10001,NEW YORK
COMMUNITY COUNSELING& MEDICATION,Mental Health Services,212-564-6006,"115 W 31ST ST FL 5, NEW YORK, NY, 10001",10001,NEW YORK
GREENWICH HOUSE INC,"Mental Health Services, Substance Abuse Outpatient",212-691-2900,"GREENWICH HOUSE - CDP 122 W 27TH ST FL 6, NEW YORK, NY, 10001",10001,NEW YORK
SHLTERING ARMS CHILD& FAM SVCS INC,Mental Health Services,212-675-1000,"SHELTERING ARMS CFS INC 305 7TH AVE FL 2, NEW YORK, NY, 10001",10001,NEW YORK
SUN RIVER HEALTH INC,Mental Health Services,855-681-8700,"SUN RIVER HEALTH INC 347 W 37TH ST, NEW YORK, NY, 10018",10018,NEW YORK
ACMH INC,Mental Health Services,212-274-8558,"254 W 31ST ST FL 9, NEW YORK, NY, 10001",10001,NEW YORK
SHILOH CONSULTING LLC,Mental Health Services,212-564-7631,"566 FASHION AVE FL 4, NEW YORK, NY, 10018",10018,NEW YORK
JASA,Mental Health Services,646-982-8254,"247 W 37TH ST 9TH FL, NEW YORK, NY, 10018",10018,NEW YORK
NADAP INC MANHATTAN,Mental Health Services,212-986-1170,"355 LEXINGTON AVE, NEW YORK, NY, 10017",10017,NEW YORK
POSTGRADUATE CNTR FOR MENTAL HLTH,Mental Health Services,212-576-4116,"71 W 23RD ST STE 704, NEW YORK, NY, 10010",10010,NEW YORK
WEST MIDTOWN MGMNT GROUP INC,Mental Health Services,212-736-5900,"WEST MIDTOWN MEDICAL GRP 311 W 35TH ST, NEW YORK, NY, 10001",10001,NEW YORK
HOUSING WORKS,Mental Health Services,718-277-0386,"301 W 37TH ST FL 4, NEW YORK, NY, 10018",10018,NEW YORK
ALLWELL,Mental Health Services,716-826-6245,"NEW FRONTIERS IN TBI DBA 2 W 45TH ST STE 1200, NEW YORK, NY, 10036",10036,NEW YORK
GAY MEN'S HEALTH CRISIS INC,Mental Health Services,212-367-1404,"GMHC 307 W 38TH ST, NEW YORK, NY, 10018",10018,NEW YORK
CHDFS INC,Mental Health Services,212-695-4562,"CHDFS INC 307 W 38TH ST FL 6, NEW YORK, NY, 10018",10018,NEW YORK
