row,name,meta,address,phone,zip
1,ACMH INC.,"Distance: 0.16 miles
254 W. 31st Street, 9th Floor New York 10001
(212)274-8558
Handicap Accessible","254 W. 31st Street, 9th Floor New York 10001",(212)274-8558,10001
2,"ARGUS COMMUNITY, INC.","Distance: 5.11 miles
2015 Madison Avenue New York 10035
(718)401-5700
Handicap Accessible",2015 Madison Avenue New York 10035,(718)401-5700,10035
3,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 7.53 miles
1363 Jerome Avenue Bronx 10457
(646)459-6165
Handicap Accessible",1363 Jerome Avenue Bronx 10457,(646)459-6165,10457
4,ASSOCIATION TO BENEFIT CHILDREN,"Distance: 4.45 miles
158 East 115th Street New York 10029
(646)459-6165
Handicap Accessible",158 East 115th Street New York 10029,(646)459-6165,10029
5,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 7.56 miles
1180 Rev James A Polite Ave, Room 230-231B Bronx 10459
(718)231-3400
Handicap Accessible","1180 Rev James A Polite Ave, Room 230-231B Bronx 10459",(718)231-3400,10459
6,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 7.62 miles
1419 Shakespeare Ave, 1st Floor Bronx 10452
(718)231-7080
Handicap Accessible","1419 Shakespeare Ave, 1st Floor Bronx 10452",(718)231-7080,10452
7,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 8.99 miles
2225 Webster Avenue, Room 309C Bronx 10457
(718)231-3400
Handicap Accessible","2225 Webster Avenue, Room 309C Bronx 10457",(718)231-3400,10457
8,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 13.16 miles
4010 Dyre Avenue Bronx 10466
(718)231-3400
Handicap Accessible",4010 Dyre Avenue Bronx 10466,(718)231-3400,10466
9,ASTOR SERVICES FOR CHILDREN & FAMILIES,"Distance: 8.81 miles
577 East 179th Street, Rooms 122 and 201 Bronx 10452
(718)231-3400
Handicap Accessible","577 East 179th Street, Rooms 122 and 201 Bronx 10452",(718)231-3400,10452
10,BETH ISRAEL MEDICAL CENTER,"Distance: 4.97 miles
103 E 125th St New York 10035
(718)252-3000
Handicap Accessible",103 E 125th St New York 10035,(718)252-3000,10035
11,"BRIDGE BACK TO LIFE CENTER, INC.","Distance: 11.66 miles
3044 Coney Island Ave Brooklyn 11235
(718)447-5700
Handicap Accessible",3044 Coney Island Ave Brooklyn 11235,(718)447-5700,11235
12,BRIDGING ACCESS TO CARE,"Distance: 2.93 miles
Home and Community Based Location New York 10006
(347)505-5000
Handicap Accessible",Home and Community Based Location New York 10006,(347)505-5000,10006
13,BRIDGING ACCESS TO CARE,"Distance: 13.97 miles
Home and Community Based Locations (Staten Island Staten Island 10306
(347)505-5000
Handicap Accessible",Home and Community Based Locations (Staten Island Staten Island 10306,(347)505-5000,10306
14,BRONXCARE HEALTH SYSTEM,"Distance: 7.49 miles
1276 Fulton Ave Bronx 10456
(718)992-7669
Handicap Accessible",1276 Fulton Ave Bronx 10456,(718)992-7669,10456
15,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","Distance: 8.56 miles
1623 Flatbush Ave Brooklyn 11210
(718)722-6258
Handicap Accessible",1623 Flatbush Ave Brooklyn 11210,(718)722-6258,11210
16,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES,"Distance: 4.87 miles
2090 7th Avenue, 4th Floor New York 10027
(212)553-6606
Handicap Accessible","2090 7th Avenue, 4th Floor New York 10027",(212)553-6606,10027
17,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES,"Distance: 4.87 miles
2090 Adam Clyaton Powell, Jr. Blvd, 4th & 8th Flr New York 10027
(212)553-6606
Handicap Accessible","2090 Adam Clyaton Powell, Jr. Blvd, 4th & 8th Flr New York 10027",(212)553-6606,10027
18,"COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES, INC","Distance: 2.42 miles
465 Grand Street New York 10002
(212)420-1970
Handicap Accessible",465 Grand Street New York 10002,(212)420-1970,10002
19,COMMUNITY COUNSELING & MEDITATION,"Distance: 4.13 miles
25 Elm Place, 2 FL Brooklyn 11201
(718)802-0666
Handicap Accessible","25 Elm Place, 2 FL Brooklyn 11201",(718)802-0666,11201
20,"FAMILY SERVICES OF WESTCHESTER, INC.","Distance: 24.54 miles
1 Gateway Plaza Port Chester 10573
(914)964-6767
Handicap Accessible",1 Gateway Plaza Port Chester 10573,(914)964-6767,10573
21,"FAMILY SERVICES OF WESTCHESTER, INC.","Distance: 13.77 miles
20 South Broadway Yonkers 10701
(914)964-6767
Handicap Accessible",20 South Broadway Yonkers 10701,(914)964-6767,10701
22,FORTUNE SOCIETY INC,"Distance: 5.69 miles
625 West 140th Street New York 10031
(212)691-7554
Handicap Accessible",625 West 140th Street New York 10031,(212)691-7554,10031
23,"GREENWICH HOUSE, INC","Distance: 1.05 miles
55 Bethune Street New York 10014
(212)242-4140
Handicap Accessible",55 Bethune Street New York 10014,(212)242-4140,10014
24,HAMILTON MADISON HOUSE- CORONA,"Distance: 2.65 miles
253 South St New York 10002
(646)284-1109
Handicap Accessible",253 South St New York 10002,(646)284-1109,10002
25,"INTERBOROUGH DEVELOPMENTAL & CONSULTATION CENTER, INC","Distance: 11.81 miles
2846 Stillwell Avenue, 6th & 7th Floors Brooklyn 11224
(718)259-6600
Handicap Accessible","2846 Stillwell Avenue, 6th & 7th Floors Brooklyn 11224",(718)259-6600,11224
26,"INTERBOROUGH DEVELOPMENTAL & CONSULTATION CENTER, INC","Distance: 8.81 miles
94-13 Flatlands Avenue Brooklyn 11226
(718)388-5176
Handicap Accessible",94-13 Flatlands Avenue Brooklyn 11226,(718)388-5176,11226
27,"INTERFAITH MEDICAL CENTER, INC.","Distance: 5.81 miles
1545 Atlantic Avenue Brooklyn 11213
(718)613-4000
Handicap Accessible",1545 Atlantic Avenue Brooklyn 11213,(718)613-4000,11213
28,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 9.08 miles
153-157 Sherman Avenue, Room 209 New York 10034
(646)254-6451
Handicap Accessible","153-157 Sherman Avenue, Room 209 New York 10034",(646)254-6451,10034
29,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 7.27 miles
255 East 98th Street Brooklyn 11212
(718)881-1524
Handicap Accessible",255 East 98th Street Brooklyn 11212,(718)881-1524,11212
30,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 6.22 miles
310 Crown Street, Room 102 Brooklyn 11225
(718)676-4210
Handicap Accessible","310 Crown Street, Room 102 Brooklyn 11225",(718)676-4210,11225
31,"JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC.","Distance: 9.32 miles
5030 Broadway, Suite 201 New York 10034
(212)795-9888
Handicap Accessible","5030 Broadway, Suite 201 New York 10034",(212)795-9888,10034
32,"JULIA DYCKMAN ANDURS MEMORIAL, INC.","Distance: 17.56 miles
105 Avondale Road, Room C-214 Yonkers 10710
(914)528-2021
Handicap Accessible","105 Avondale Road, Room C-214 Yonkers 10710",(914)528-2021,10710
33,"JULIA DYCKMAN ANDURS MEMORIAL, INC.","Distance: 30.02 miles
2 Clarendon Rooad, Intern Office A Ossining 10562
(914)528-2021
Handicap Accessible","2 Clarendon Rooad, Intern Office A Ossining 10562",(914)528-2021,10562
34,"MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, INC.","Distance: 4.93 miles
61-20 Woodside Avenue Woodside 11377
(718)476-0076
Handicap Accessible",61-20 Woodside Avenue Woodside 11377,(718)476-0076,11377
36,METROPOLITAN CENTER FOR MENTAL HEALTH INC,"Distance: 6.83 miles
1090 St Nicholas Ave, Bsmt New York 10032
(212)543-0004
Handicap Accessible","1090 St Nicholas Ave, Bsmt New York 10032",(212)543-0004,10032
37,METROPOLITAN CENTER FOR MENTAL HEALTH INC,"Distance: 3.53 miles
163 West 97th Street, Room 128 New York 10025
(212)543-0004
Handicap Accessible","163 West 97th Street, Room 128 New York 10025",(212)543-0004,10025
38,MONTEFIORE MEDICAL CENTER,"Distance: 10.12 miles
2527 Glebe Avenue Bronx 10461
(718)920-4231
Handicap Accessible",2527 Glebe Avenue Bronx 10461,(718)920-4231,10461
39,MOUNT SINAI HOSPITAL,"Distance: 4.36 miles
411 West 114th Street New York 10025
(212)241-6500
Handicap Accessible",411 West 114th Street New York 10025,(212)241-6500,10025
40,NEW YORK CITY CHILDREN'S CENTER (NYSOMH),"Distance: 14.31 miles
74-03 Commonwealth Blvd, bldg 57, 2nf fl front Bellerose 11426
(718)264-4586
Handicap Accessible","74-03 Commonwealth Blvd, bldg 57, 2nf fl front Bellerose 11426",(718)264-4586,11426
41,NEW YORK FOUNDLING,"Distance: 5.82 miles
244 W 144th Street, RM 115 New York 10030
(917)485-7580
Handicap Accessible","244 W 144th Street, RM 115 New York 10030",(917)485-7580,10030
42,NEW YORK FOUNDLING,"Distance: 10.44 miles
3000 East Tremont Ave, Room 166 Bronx 10461
(917)485-7580
Handicap Accessible","3000 East Tremont Ave, Room 166 Bronx 10461",(917)485-7580,10461
43,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,"Distance: 6.21 miles
80-25 45th Avenue Elmhurst 11373
(718)478-2900
Handicap Accessible",80-25 45th Avenue Elmhurst 11373,(718)478-2900,11373
44,"NORTHSIDE CENTER FOR CHILD DEVELPOMENT, INC.","Distance: 4.24 miles
21 West 111 Street, Room 207 New York 10026
(212)426-3400
Handicap Accessible","21 West 111 Street, Room 207 New York 10026",(212)426-3400,10026
45,"NORTHSIDE CENTER FOR CHILD DEVELPOMENT, INC.","Distance: 5.32 miles
499 West 133rd Street, Room 125B, Main Fl New York 10027
(212)426-3400
Handicap Accessible","499 West 133rd Street, Room 125B, Main Fl New York 10027",(212)426-3400,10027
46,NORTHWELL / LIJ ZUCKER HILLSIDE HOSPITAL,"Distance: 12.44 miles
205-07 Hillside Avenue, Suite 5-9 Hollis 11423
(718)465-3294
Handicap Accessible","205-07 Hillside Avenue, Suite 5-9 Hollis 11423",(718)465-3294,11423
47,NORTHWELL / SOUTH OAKS HOSPITAL,"Distance: 30.39 miles
400 Sunrise Highway, 2nd Floor, Jennings Hall Amityville 11701
(631)608-5028
Handicap Accessible","400 Sunrise Highway, 2nd Floor, Jennings Hall Amityville 11701",(631)608-5028,11701
48,NORTHWELL / STATEN ISLAND UNIVERSITY HOSPITAL,"Distance: 12.33 miles
450 Seaview Ave Staten Island 10305
(718)226-8910
Handicap Accessible",450 Seaview Ave Staten Island 10305,(718)226-8910,10305
49,"NYC HEALTH + HOSPITALS / GOUVERNEUR, A GOTHAM HEALTH CENTER","Distance: 2.12 miles
109-11 Delancey St New York 10002
(718)252-3000
Handicap Accessible",109-11 Delancey St New York 10002,(718)252-3000,10002
50,NYC HEALTH + HOSPITALS / JACOBI,"Distance: 10.8 miles
1400 Pelham Parkway South Bronx 10461
(718)579-4061
Handicap Accessible",1400 Pelham Parkway South Bronx 10461,(718)579-4061,10461
51,NYC HEALTH + HOSPITALS / KINGS COUNTY,"Distance: 7.41 miles
410 Winthrop Street Brooklyn 11203
(718)579-4061
Handicap Accessible",410 Winthrop Street Brooklyn 11203,(718)579-4061,11203
52,NYC HEALTH + HOSPITALS / KINGS COUNTY,"Distance: 6.82 miles
591 Kingston Ave Brooklyn 11203
(718)579-4061
Handicap Accessible",591 Kingston Ave Brooklyn 11203,(718)579-4061,11203
53,NYC HEALTH + HOSPITALS / QUEENS,"Distance: 10.69 miles
105-59 Inwood Street Jamaica 11435
(718)883-3000
Handicap Accessible",105-59 Inwood Street Jamaica 11435,(718)883-3000,11435
54,NYU LANGONE HOSPITALS,"Distance: 7.16 miles
150 55th Street Brooklyn 11220
(646)929-7800
Handicap Accessible",150 55th Street Brooklyn 11220,(646)929-7800,11220
55,OHEL CHILDREN'S HOME AND FAMILY SERVICES DBA TIKVAH AT OHEL,"Distance: 9.18 miles
1268 East 14 street Brooklyn 11230
(718)435-5533
Handicap Accessible",1268 East 14 street Brooklyn 11230,(718)435-5533,11230
56,OHEL CHILDREN'S HOME AND FAMILY SERVICES DBA TIKVAH AT OHEL,"Distance: 9.18 miles
1268 East 14 Street Brooklyn 11230
(718)686-3306
Handicap Accessible",1268 East 14 Street Brooklyn 11230,(718)686-3306,11230
57,OHEL CHILDREN'S HOME AND FAMILY SERVICES DBA TIKVAH AT OHEL,"Distance: 12.28 miles
400 Caswell Ave, Room 2 Staten Island 10314
(718)435-5533
Handicap Accessible","400 Caswell Ave, Room 2 Staten Island 10314",(718)435-5533,10314
58,OUTREACH DEVELOPMENT CORPORATION,"Distance: 5.95 miles
1614 Weirfield Street Ridgewood 11385
(718)456-7820
Handicap Accessible",1614 Weirfield Street Ridgewood 11385,(718)456-7820,11385
59,OUTREACH DEVELOPMENT CORPORATION,"Distance: 38.04 miles
400 Crooked Hill Road Brentwood 11717
(631)469-6200
Handicap Accessible",400 Crooked Hill Road Brentwood 11717,(631)469-6200,11717
60,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 7.61 miles
1449 39th Street Rm 118 Brooklyn 11218
(718)875-6900
Handicap Accessible",1449 39th Street Rm 118 Brooklyn 11218,(718)875-6900,11218
61,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 8.84 miles
1470 Ocean Parkway, Rm 205 Brooklyn 11230
(718)875-6900
Handicap Accessible","1470 Ocean Parkway, Rm 205 Brooklyn 11230",(718)875-6900,11230
62,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 7.96 miles
1650 56th Street Rm 16 Brooklyn 11219
(718)875-6900
Handicap Accessible",1650 56th Street Rm 16 Brooklyn 11219,(718)875-6900,11219
63,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 8.56 miles
1824 53rd Street Rm 210-1 Brooklyn 11204
(718)875-6900
Handicap Accessible",1824 53rd Street Rm 210-1 Brooklyn 11204,(718)875-6900,11204
64,PESACH TIKVAH HOPE DEVELOPMENT INC.,"Distance: 3.76 miles
640 Bedford Avenue Brooklyn 11206
(718)925-2259
Handicap Accessible",640 Bedford Avenue Brooklyn 11206,(718)925-2259,11206
65,PILGRIM PSYCHIATRIC CENTER (NYSOMH),"Distance: 52.17 miles
3 Grove Avenue Patchogue 11772
(518)549-5272
Handicap Accessible",3 Grove Avenue Patchogue 11772,(518)549-5272,11772
66,POST GRADUATE CENTER FOR MENTAL HEALTH,"Distance: 8.15 miles
1775 Grand Concourse, 8th Floor Bronx 10453
(212)665-1860
Handicap Accessible","1775 Grand Concourse, 8th Floor Bronx 10453",(212)665-1860,10453
67,ROCKLAND PSYCHIATRIC CENTER (NYSOMH),"Distance: 23.08 miles
10 County Center Road White Plains 10607
(518)549-5272
Handicap Accessible",10 County Center Road White Plains 10607,(518)549-5272,10607
68,SAMARITAN DAYTOP VILLAGE INC,"Distance: 73.4 miles
767 Cape Road Ellenville 12428
(845)647-6575
Handicap Accessible",767 Cape Road Ellenville 12428,(845)647-6575,12428
69,"SAMUEL FIELD YM & YWHA, INC. DBA COMMUNITY ADVISORY PROGRAM FOR THE ELDERLY","Distance: 14.36 miles
59-28 Little Neck Parkway Little Neck 11362
(718)224-0566
Handicap Accessible",59-28 Little Neck Parkway Little Neck 11362,(718)224-0566,11362
70,"SAMUEL FIELD YM & YWHA, INC. DBA COMMUNITY ADVISORY PROGRAM FOR THE ELDERLY","Distance: 8.11 miles
67-09 108th Street Forest Hills 11375
(718)224-0566
Handicap Accessible",67-09 108th Street Forest Hills 11375,(718)224-0566,11375
71,"SERVICE PROGRAM FOR OLDER PEOPLE, INC","Distance: 2.29 miles
141 West 73rd Street Ansonia 10023
(212)787-7120
Handicap Accessible",141 West 73rd Street Ansonia 10023,(212)787-7120,10023
