program_region,program_county,sponsor_name,agency_name,site_name,main_site,site_address,site_city,site_state,site_zip_code,site_county,population_simple,type,full_address,lat,long,geometry
New York City,Bronx,"Acacia Network, Inc.","PROMESA, Inc.",Westchester Center of Excellence,Y,915 Westchester Avenue 2nd Floor,Bronx,NY,10459,Bronx,Children & Adolescents,Community,"915 Westchester Avenue 2nd Floor, Bronx, NY 10459",40.8215662,-73.8984076,"[-73.8984076, 40.8215662]"
New York City,Bronx,Association to Benefit Children,Association to Benefit Children,Fast Break - The Bronx,Y,1366 Inwood Avenue,Bronx,NY,10452,Bronx,Children & Adolescents,Community,"1366 Inwood Avenue, Bronx, NY 10452",40.8398641,-73.9188205,"[-73.9188205, 40.8398641]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor @ Mott Hall V,N,1551 East 172nd Street Room 216C,Bronx,NY,10472,Bronx,Children & Adolescents,Community,"1551 East 172nd Street Room 216C, Bronx, NY 10472",40.8318874,-73.8772819,"[-73.8772819, 40.8318874]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor Clinic Treatment Program - Tilden,Y,750 Tilden Street,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"750 Tilden Street, Bronx, NY 10467",40.8766745,-73.862719,"[-73.862719, 40.8766745]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,"Astor Services @ MS 80, The Isabel Rooney School",N,149 East Mosholu Parkway Room 414C,Bronx,NY,10467,Bronx,Adolescents,School,"149 East Mosholu Parkway Room 414C, Bronx, NY 10467",40.8768024,-73.8813704,"[-73.8813704, 40.8768024]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at Bronxwood,N,700 East 179th Street Room 223,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"700 East 179th Street Room 223, Bronx, NY 10467",40.8462893,-73.8893633,"[-73.8893633, 40.8462893]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at x083,N,950 Rhinelander Avenue Room 252,Bronx,NY,10462,Bronx,Adolescents,Community,"950 Rhinelander Avenue Room 252, Bronx, NY 10462",40.8492587,-73.85886099999999,"[-73.85886099999999, 40.8492587]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Eagle Academy Satellite Clinic,N,4143 Third Avenue Room 218B,Bronx,NY,10457,Bronx,Children & Adolescents,School,"4143 Third Avenue Room 218B, Bronx, NY 10457",40.845289,-73.8972161,"[-73.8972161, 40.845289]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Richard R. Green Campus Satellite Clinic,N,3710 Barnes Avenue Rooms 150 and 350,Bronx,NY,10467,Bronx,Children & Adolescents,Community,"3710 Barnes Avenue Rooms 150 and 350, Bronx, NY 10467",40.8808122,-73.8605855,"[-73.8605855, 40.8808122]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor @ PS X595,N,700 East 179th Street Room 267,Bronx,NY,10457,Bronx,Children & Adolescents,School,"700 East 179th Street Room 267, Bronx, NY 10457",40.8462893,-73.8893633,"[-73.8893633, 40.8462893]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor Services @ MS 328,N,1000 Teller Avenue Offices 2118E and 2118F,Bronx,NY,10456,Bronx,Children & Adolescents,School,"1000 Teller Avenue Offices 2118E and 2118F, Bronx, NY 10456",40.8279,-73.9141928,"[-73.9141928, 40.8279]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at 09x361 Highbridge Green,N,200 West 167th Street,Bronx,NY,10452,Bronx,Children & Adolescents,Community,"200 West 167th Street, Bronx, NY 10452",40.8380483,-73.9279911,"[-73.9279911, 40.8380483]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at BECA x324,N,250 East 164th Street,Bronx,NY,10456,Bronx,Children & Adolescents,Community,"250 East 164th Street, Bronx, NY 10456",40.8280778,-73.91751959999999,"[-73.91751959999999, 40.8280778]"
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at Highbridge Clinic,Y,1419 Shakespeare Avenue 1st Floor,Bronx,NY,10452,Bronx,Children & Adolescents,Community,"1419 Shakespeare Avenue 1st Floor, Bronx, NY 10452",40.8424225,-73.921182,"[-73.921182, 40.8424225]"
