agency_name,site_name,specialty,specialty_desc,nokids_notherapy,nokids_notherapy_desc,not_applicable,not_applicable_desc,site_city,site_zip_code,site_county,population_simple,type,address,phone,date_called,reached,new_patients,wait_time,weeks_low,weeks_high,weeks_mean,months_low,months_high,lat,long,geometry
Beth Israel Medical Center,Beth Israel Medical Center Child Outpatient Department,,,,,,,New York,10003.0,New York,Children & Adolescents,Community,10 NATHAN D PERLMAN PL,212-420-4135,6/13/22,yes,yes,End of July,7.0,7.0,7.0,1.75,1.75,40.73308919999999,-73.9830393,"[-73.9830393, 40.73308919999999]"
NYC-HHC Bellevue Hospital Center,Bellevue Hospital Center Child & Adolescent Clinic,,,,,,,New York,10016.0,New York,Children & Adolescents,Community,"462 1st Ave., New York, NY 10016",212-562-4991,6/13/2022,yes,no,no list,,,,,,40.7397258,-73.976201,"[-73.976201, 40.7397258]"
NYC-HHC Coney Island Hospital,Coney Island Hospital Child and Adult Outpatient Clinic Prog,,,,,,,Brooklyn,11235.0,Kings,Children & Adolescents,Community,2601 Ocean Parkway Hammett Pavilion,718-616-5321,6/13/2022,yes,yes,End of July Early August,7.0,9.0,8.0,1.75,2.25,40.5850562,-73.96546049999999,"[-73.96546049999999, 40.5850562]"
"Vocational Instruction Project Comm. Svcs, In",VIP Wellness Center,,,,,,,Bronx,10460.0,Bronx,Children & Adolescents,Community,770 East 176th Street,718-583-5150,7/28/2022,yes,yes,"3-5 days intake, providers and family's availability",1.0,2.0,1.5,0.25,0.5,40.8420202,-73.8903018,"[-73.8903018, 40.8420202]"
The New York Presbyterian Hospital,New York Weill Cornell Center Child and Adolescent Clinic,,,,,,,New York,10065.0,New York,Children & Adolescents,Community,525 East 68th Street New York,212-746-5700,6/13/2022,yes,no,no list,,,,,,40.7643007,-73.9542797,"[-73.9542797, 40.7643007]"
Visiting Nurse Service of NY Home Care II,VNSNY Mental Health Clinic at FRIENDS,,,,,,,Bronx,10455.0,Bronx,Children & Adolescents,Community,489 E 153RD ST,718-742-7000,7/1/2022,yes,yes,6-7 weeks,6.0,7.0,6.5,1.5,1.75,40.8183825,-73.9137999,"[-73.9137999, 40.8183825]"
"Advanced Center for Psychotherapy, Inc.",Advanced Center for Psychotherapy Jamaica Branch,,,,,,,Jamaica Estates,11432.0,Queens,Children & Adolescents,Community,17810 WEXFORD TER,718-658-1123,6/22/22,yes,yes,6 months,26.07,24.0,25.04,6.52,6.0,40.7127081,-73.7849279,"[-73.7849279, 40.7127081]"
"Arista Center for Psychotherapy, Inc.",Arista Center for Psychotherapy,,,,,,,Forest Hills,11375.0,Queens,Children & Adolescents,Community,11020 71ST RD,718-793-3133,6/22/22,yes,yes,1+ months,4.35,6.35,5.35,1.09,1.59,40.7216181,-73.8406145,"[-73.8406145, 40.7216181]"
"New Alternatives for Children, Inc.",NAC Mental Health Clinic,Y,children with special health needs,,,,,New York,10010.0,New York,Children & Adolescents,Community,37 W 26TH ST,646-352-9011,6/22/22,yes,yes,2+ months,8.69,10.69,9.69,2.17,2.67,40.7445977,-73.9904622,"[-73.9904622, 40.7445977]"
"Sheltering Arms Children and Family Services,",Family Life Clinic,,,,,,,Jamaica,11432.0,Queens,Children & Adolescents,Community,8974 162ND ST,718-206-3440,6/22/22,yes,yes,4 months,17.38,17.38,17.38,4.35,4.35,40.70474249999999,-73.798172,"[-73.798172, 40.70474249999999]"
"Sheltering Arms Children and Family Services,",Family Life Clinic,,,,,,,Jamaica,11342.0,Queens,Children & Adolescents,Community,89-74 162nd Street,"718-526-2400 x 1,2",7/11/2022,yes,yes,4 months,17.38,17.38,17.38,4.35,4.35,40.70474249999999,-73.798172,"[-73.798172, 40.70474249999999]"
"Sheltering Arms Children and Family Services,",Far Rockaway Family Life Clinic,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,Community,1600 CENTRAL AVE,718-471-6818,6/22/22,yes,yes,1 month,4.35,4.35,4.35,1.09,1.09,40.6051736,-73.7522446,"[-73.7522446, 40.6051736]"
"Urban Health Plan, Inc.",VIDA Guidance Center,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,Community,4419 3RD AVE,718-364-7700,7/1/22,yes,yes,5-6 months,21.73,26.07,23.9,5.43,6.52,40.8520793,-73.89322179999999,"[-73.89322179999999, 40.8520793]"
Association to Benefit Children,ABC Fast Break Yorkville,,,,,,,New York,10128.0,New York,Adolescents,Community,1366 Inwood,646-459-6165,6/23/22,yes,yes,3-4 months,13.04,17.38,15.21,3.26,4.35,40.7779225,-73.9473251,"[-73.9473251, 40.7779225]"
Association to Benefit Children,Fast Break 115,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,158 E 115TH ST,646-459-6165,6/23/22,yes,yes,3-4 months,13.04,17.38,15.21,3.26,4.35,40.797615,-73.9419066,"[-73.9419066, 40.797615]"
Brookdale Hospital Medical Center,Brookdale Hospital CMHC Child Clinic,,,,,,,Brooklyn,11212.0,Kings,Children & Adolescents,Community,1 Brookdale Plaza,"718-240-6168, Supervisor John 718-240-6895,",6/23/22,yes,no,no list,,,,,,40.6548573,-73.9116673,"[-73.9116673, 40.6548573]"
Coalition for Hispanic Family Services,Bonding Links-Enlazos Familiares Mental Health Clinic,,,,,,,Brooklyn,11237.0,Kings,Children & Adolescents,Community,315 WYCKOFF AVE,718-497-6090,6/23/22,yes,no,no list,,,,,,40.7001958,-73.9117555,"[-73.9117555, 40.7001958]"
Jewish Board of Family & Children's Services,Brownsville Child Development Center,,,,,,,Brooklyn,11212.0,Kings,Children,Community,255 E 98TH ST,718-881-1524,6/23/22,yes,yes,"6-8 weeks, ages 0-8",6.0,8.0,7.0,1.5,2.0,40.6614843,-73.91866790000002,"[-73.91866790000002, 40.6614843]"
Maimonides Medical Center,Maimonides CMHC Children's Clinic,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,Community,920 48TH ST,718-283-8100,6/23,yes,no,no list,,,,,,40.6403019,-73.9997605,"[-73.9997605, 40.6403019]"
NYC-HHC Queens Hospital Center,Queens Hospital Center Child & Adolescent OPD,,,,,,,Jamaica,11432.0,Queens,Children & Adolescents,Community,8250 164TH ST,718-883-3225,6/23/22,yes,yes,4-5 months,17.38,21.73,19.55,4.35,5.43,40.7176634,-73.8037245,"[-73.8037245, 40.7176634]"
The Family Center,Irene LeeKong Health and Wellness Institute at TFC,,,,,,,Brooklyn,11216.0,Kings,Children & Adolescents,Community,493 NOSTRAND AVE,718-230-1379,6/23/22,yes,no,"wait list, 6 months",,,,,0.0,40.6806225,-73.9494806,"[-73.9494806, 40.6806225]"
"Upper Manhattan M H Center, Inc. aka The Emma",Upper Manhattan Child/Adolescent Outpatient Unit,,,,,,,New York,10031.0,New York,Children & Adolescents,Community,1727 AMSTERDAM AVE,718-963-8000,6/23/22,yes,yes,1-3 months,4.35,13.04,8.69,1.09,3.26,40.8254508,-73.9469577,"[-73.9469577, 40.8254508]"
NYC-HHC Kings County Hospital Center,Kings County Hospital Child and Adolescent Clinic,,,,,,,Brooklyn,11203.0,Kings,Children & Adolescents,Community,410 WINTHROP ST,718-245-8897,6/24/22,yes,yes,October,12.0,14.0,13.0,3.0,3.5,40.657285,-73.9465508,"[-73.9465508, 40.657285]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah FSC - 5309 18th Avenue,,,,,,,Brooklyn,11204.0,Kings,Children & Adolescents,Community,5309 18th Avenue,718-705-5190,6/24/22,yes,yes,"1 week for intake, 2 week for therapist to reach out",3.0,3.0,3.0,0.75,0.75,40.6256726,-73.98332429999999,"[-73.98332429999999, 40.6256726]"
The Institute for Family Health,Institute Center for Counseling at Walton Avenue,,,,,,,Bronx,10453.0,Bronx,Children & Adolescents,Community,1894 Walton Avenue,(718) 583-2508,6/30/22,yes,yes,"2-3 for intake,2 or more weeks for appointment",4.0,6.0,5.0,1.0,1.5,40.8496978,-73.9090441,"[-73.9090441, 40.8496978]"
Hudson Guild Counseling Service,Hudson Guild Paula B. Balser Counseling Service,,,,,,,New York,10001.0,New York,Children & Adolescents,Community,441 W 26TH ST,212-760-9822,6/27/22,yes,yes,2-3 months,8.69,12.0,10.35,2.17,3.0,40.7495592,-74.0014717,"[-74.0014717, 40.7495592]"
"Interborough Develop & Consultation Ctr, Inc.",Interborough Develop & Consultation Ctr Crown Heights Clinic,,,,,,,Brooklyn,11203.0,Kings,Children & Adolescents,Community,921 E NEW YORK AVE,718-778-0485,6/27/22,yes,yes,6-8 weeks,6.0,8.0,7.0,1.5,2.0,40.6632148,-73.93244589999999,"[-73.93244589999999, 40.6632148]"
"Interborough Develop & Consultation Ctr, Inc.",Canarsie Counseling Center,,,,,,,Brooklyn,11236.0,Kings,Children & Adolescents,Community,9413 FLATLANDS AVE,718-272-1600,6/27/22,yes,yes,1 month,4.35,4.35,4.35,1.09,1.09,40.6571238,-73.8771244,"[-73.8771244, 40.6571238]"
"Interborough Develop & Consultation Ctr, Inc.",Williamsburg Clinic,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,Community,790 BROADWAY,718-388-5176,6/27/22,yes,yes,2-4 weeks,2.0,4.0,3.0,0.5,1.0,40.6997223,-73.9408097,"[-73.9408097, 40.6997223]"
"Interborough Develop & Consultation Ctr, Inc.",Interborough Developmental & Consultation Center,,,,,,,Brooklyn,11229.0,Kings,Children & Adolescents,Community,1623 KINGS HWY,929-273-7601,6/27/22,yes,yes,2-3 weeks,2.0,3.0,2.5,0.5,0.75,40.6097581,-73.9567847,"[-73.9567847, 40.6097581]"
"Interborough Develop & Consultation Ctr, Inc.",Coney Island Clinic,,,,,,,Brooklyn,11224.0,Kings,Children & Adolescents,Community,2846 STILLWELL AVE,718-975-4888,6/27/22,yes,yes,1 week,1.0,1.0,1.0,0.25,0.25,40.5779777,-73.9820043,"[-73.9820043, 40.5779777]"
"Karen Horney Clinic, Inc.",Karen Horney Clinic,,,Y,intake coordinator said they do not treat kids,,,New York,10065.0,New York,Children & Adolescents,Community,,(929)-277-7824,6/27/22,yes,,,,,,,,40.7622426,-73.961721,"[-73.961721, 40.7622426]"
"Puerto Rican Family Institute, Inc.",Puerto Rican Family Institute - Manhattan Clinic,,,,,,,New York,10011.0,New York,Children & Adolescents,Community,145 W 15TH ST,212-924-6320,6/27/22,yes,yes,6-8 weeks,6.0,8.0,7.0,1.5,2.0,40.7389344,-73.9979012,"[-73.9979012, 40.7389344]"
"St. Vincent's Services, Inc. dba HeartShare S",St. Vincent's Mental Health Services,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,Community,,718-422-2211,6/27,yes,yes,4-6 weeks,4.0,6.0,5.0,1.0,1.5,40.6896846,-73.9906628,"[-73.9906628, 40.6896846]"
Community Assistance Resources & Extended Ser,CARES Behavioral Health Services,,,,,,,New York,10002.0,New York,Children & Adolescents,Community,465 GRAND ST,212-420-1970,6/29/22,yes,no,no list,,,,,,40.7147772,-73.9839516,"[-73.9839516, 40.7147772]"
