program_region,program_county,sponsor_name,agency_name,site_name,main_site,site_address,site_city,site_state,site_zip_code,site_county,population_simple,type
New York City,Bronx,"Acacia Network, Inc.","PROMESA, Inc.",Westchester Center of Excellence,Y,915 Westchester Avenue 2nd Floor,Bronx,NY,10459.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Association to Benefit Children,Association to Benefit Children,Fast Break - The Bronx,Y,1366 Inwood Avenue,Bronx,NY,10452.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor @ Mott Hall V,N,1551 East 172nd Street Room 216C,Bronx,NY,10472.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor Clinic Treatment Program - Tilden,Y,750 Tilden Street,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,"Astor Services @ MS 80, The Isabel Rooney School",N,149 East Mosholu Parkway Room 414C,Bronx,NY,10467.0,Bronx,Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at Bronxwood,N,700 East 179th Street Room 223,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at x083,N,950 Rhinelander Avenue Room 252,Bronx,NY,10462.0,Bronx,Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Eagle Academy Satellite Clinic,N,4143 Third Avenue Room 218B,Bronx,NY,10457.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Richard R. Green Campus Satellite Clinic,N,3710 Barnes Avenue Rooms 150 and 350,Bronx,NY,10467.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor @ PS X595,N,700 East 179th Street Room 267,Bronx,NY,10457.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor Services @ MS 328,N,1000 Teller Avenue Offices 2118E and 2118F,Bronx,NY,10456.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at 09x361 Highbridge Green,N,200 West 167th Street,Bronx,NY,10452.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at BECA x324,N,250 East 164th Street,Bronx,NY,10456.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at Highbridge Clinic,Y,1419 Shakespeare Avenue 1st Floor,Bronx,NY,10452.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at PS X61/IS 190,N,1550 Crotona Park East,Bronx,NY,10460.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor at Peace and Diversity Academy,N,1180 Rev James A Polite Ave Room 230-231B,Bronx,NY,10459.0,Bronx,Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Astor@ x45 Thomas C. Giordano Middle School,N,2502 Lorillard Place Room 103-3,Bronx,NY,10458.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,East Bronx Academy for the Future,N,1716 Southern Blvd Room 307A,Bronx,NY,10460.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Fanny Lou Hamer Middle School,N,1001 Jennings Street Room 400,Bronx,NY,10460.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Hunts Point Middle School X424,N,730 Bryant Avenue,Bronx,NY,10474.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,IS 131 Albert Einstein School,N,885 Bolton Avenue Room 101A,Bronx,NY,10473.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,J.H.S. 118,N,577 E 179th Street Rooms 122 and 201,Bronx,NY,10457.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Jill Chaifitz Transfer High School,N,778 Forest Avenue Room 122,Bronx,NY,10456.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Kips Bay Palmero Clubhouse,N,1930 Randall Avenue,Bronx,NY,10473.0,Bronx,Children & Adolescents,Community
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,M.S. 390,N,1930 Andrews Avenue Room 216A,Bronx,NY,10453.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,M.S. 391,N,2225 Webster Avenue Room 309C,Bronx,NY,10457.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Morris Academy for Collaborative St,N,1110 Boston Road Room 201,Bronx,NY,10456.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,P.S. 154 Jonathan D. Hyatt,N,333 E 135th Street Room 136A,Bronx,NY,10454.0,Bronx,Children,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,P.S. 333/335,N,888 Rev James A Polite Ave Room 316,Bronx,NY,10459.0,Bronx,Children,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,P.S. 42,N,"1537 Washington Avenue 1st Floor, Room 108",Bronx,NY,10457.0,Bronx,Children,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,School Satellite Clinic MS 22 and MS 323,N,270 E 167th Street Rooms 115A and 316,Bronx,NY,10456.0,Bronx,Children & Adolescents,School
New York City,Bronx,Astor Services for Children & Families,Astor Services for Children & Families,Urban Campus,N,650 Hollywood Avenue Room 422,Bronx,NY,10465.0,Bronx,Adolescents,Community
New York City,Bronx,"AthenaPsych, LLC","AthenaPsych, LLC",AthenaPsych Counseling Center,Y,2825 Third Avenue Suite 402,Bronx,NY,10455.0,Bronx,Children & Adolescents,Community
New York City,Bronx,BronxCare Health System,BronxCare Health System,BronxCare Child Study Center,Y,1276 Fulton Avenue,Bronx,NY,10456.0,Bronx,Children & Adolescents,Community
