uhf_code,neighborhood,zipcode
101,Kingsbridge - Riverdale ,10463
102,Northeast Bronx,10466
103,Fordham - Bronx Park,10458
104,Pelham - Throgs Neck,10461
105,Crotona - Tremont,10453
106,High Bridge - Morrisania,10451
107,Hunts Point - Mott Haven,10454
201,Greenpoint,11211
202,Downtown - Heights - Park Slope,11201
203,Bedford Stuyvesant - Crown Heights,11213
204,East New York,11207
205,Sunset Park,11220
206,Borough Park,11204
207,East Flatbush - Flatbush,11203
208,Canarsie - Flatlands,11234
209,Bensonhurst - Bay Ridge,11209
210,Coney Island - Sheepshead Bay,11223
211,Williamsburg - Bushwick,11206
301,Washington Heights - Inwood,10031
302,Central Harlem - Morningside Heights,10026
303,East Harlem ,10029
304,Upper West Side,10023
305,Upper East Side,10021
306,Chelsea - Clinton,10001
307,Gramercy Park - Murray Hill,10010
308,Greenwich Village - SoHo,10012
309,Union Square - Lower East Side,10002
310,Lower Manhattan,10004
401,Long Island City - Astoria,11101
402,West Queens,11368
403,Flushing - Clearview,11354
404,Bayside - Little Neck,11361
405,Ridgewood - Forest Hills,11374
406,Fresh Meadows,11365
407,Southwest Queens,11414
408,Jamaica,11412
409,Southeast Queens,11004
410,Rockaway,11691
501,Port Richmond,10302
502,Stapleton - St. George,10301
503,Willowbrook,10314
504,South Beach - Tottenville,10306
101,Kingsbridge - Riverdale ,10471
102,Northeast Bronx,10469
103,Fordham - Bronx Park,10467
104,Pelham - Throgs Neck,10462
105,Crotona - Tremont,10457
106,High Bridge - Morrisania,10452
107,Hunts Point - Mott Haven,10455
201,Greenpoint,11222
202,Downtown - Heights - Park Slope,11205
203,Bedford Stuyvesant - Crown Heights,11212
204,East New York,11208
205,Sunset Park,11232
206,Borough Park,11218
207,East Flatbush - Flatbush,11210
208,Canarsie - Flatlands,11236
209,Bensonhurst - Bay Ridge,11214
210,Coney Island - Sheepshead Bay,11224
211,Williamsburg - Bushwick,11221
301,Washington Heights - Inwood,10032
302,Central Harlem - Morningside Heights,10027
303,East Harlem ,10035
304,Upper West Side,10024
305,Upper East Side,10028
306,Chelsea - Clinton,10011
307,Gramercy Park - Murray Hill,10016
308,Greenwich Village - SoHo,10013
309,Union Square - Lower East Side,10003
310,Lower Manhattan,10005
401,Long Island City - Astoria,11102
402,West Queens,11369
403,Flushing - Clearview,11355
404,Bayside - Little Neck,11362
405,Ridgewood - Forest Hills,11375
406,Fresh Meadows,11366
407,Southwest Queens,11415
408,Jamaica,11423
409,Southeast Queens,11005
410,Rockaway,11692
501,Port Richmond,10303
502,Stapleton - St. George,10304
504,South Beach - Tottenville,10307
102,Northeast Bronx,10470
103,Fordham - Bronx Park,10468
104,Pelham - Throgs Neck,10464
105,Crotona - Tremont,10460
106,High Bridge - Morrisania,10456
107,Hunts Point - Mott Haven,10459
202,Downtown - Heights - Park Slope,11215
203,Bedford Stuyvesant - Crown Heights,11216
206,Borough Park,11219
207,East Flatbush - Flatbush,11225
208,Canarsie - Flatlands,11239
209,Bensonhurst - Bay Ridge,11228
210,Coney Island - Sheepshead Bay,11229
211,Williamsburg - Bushwick,11237
301,Washington Heights - Inwood,10033
302,Central Harlem - Morningside Heights,10030
304,Upper West Side,10025
305,Upper East Side,10044
306,Chelsea - Clinton,10018
307,Gramercy Park - Murray Hill,10017
308,Greenwich Village - SoHo,10014
309,Union Square - Lower East Side,10009
310,Lower Manhattan,10006
401,Long Island City - Astoria,11103
402,West Queens,11370
403,Flushing - Clearview,11356
404,Bayside - Little Neck,11363
405,Ridgewood - Forest Hills,11379
406,Fresh Meadows,11367
407,Southwest Queens,11416
408,Jamaica,11432
409,Southeast Queens,11411
410,Rockaway,11693
501,Port Richmond,10310
502,Stapleton - St. George,10305
504,South Beach - Tottenville,10308
102,Northeast Bronx,10475
104,Pelham - Throgs Neck,10465
107,Hunts Point - Mott Haven,10474
202,Downtown - Heights - Park Slope,11217
203,Bedford Stuyvesant - Crown Heights,11233
206,Borough Park,11230
207,East Flatbush - Flatbush,11226
210,Coney Island - Sheepshead Bay,11235
301,Washington Heights - Inwood,10034
302,Central Harlem - Morningside Heights,10037
305,Upper East Side,10128
306,Chelsea - Clinton,10019
307,Gramercy Park - Murray Hill,10022
310,Lower Manhattan,10007
401,Long Island City - Astoria,11104
402,West Queens,11372
403,Flushing - Clearview,11357
404,Bayside - Little Neck,11364
405,Ridgewood - Forest Hills,11385
407,Southwest Queens,11417
408,Jamaica,11433
409,Southeast Queens,11413
410,Rockaway,11694
504,South Beach - Tottenville,10309
104,Pelham - Throgs Neck,10472
202,Downtown - Heights - Park Slope,11231
203,Bedford Stuyvesant - Crown Heights,11238
301,Washington Heights - Inwood,10040
302,Central Harlem - Morningside Heights,10039
306,Chelsea - Clinton,10020
310,Lower Manhattan,10038
401,Long Island City - Astoria,11105
402,West Queens,11373
403,Flushing - Clearview,11358
407,Southwest Queens,11418
408,Jamaica,11434
409,Southeast Queens,11422
410,Rockaway,11695
504,South Beach - Tottenville,10312
104,Pelham - Throgs Neck,10473
306,Chelsea - Clinton,10036
310,Lower Manhattan,10280
401,Long Island City - Astoria,11106
402,West Queens,11377
403,Flushing - Clearview,11359
407,Southwest Queens,11419
408,Jamaica,11435
409,Southeast Queens,11426
410,Rockaway,11697
402,West Queens,11378
403,Flushing - Clearview,11360
407,Southwest Queens,11420
408,Jamaica,11436
409,Southeast Queens,11427
407,Southwest Queens,11421
409,Southeast Queens,11428
409,Southeast Queens,11429
